Altuve	Jose	0.278	167	32	1	31
Brantley	Michael	0.311	146	29	3	8
Correa	Carlos	0.279	155	34	1	26
Alvarez	Yordan	0.277	149	35	1	33
Gurriel	Yuli	0.319	169	31	0	15
Tucker	Kyle	0.294	149	37	3	30
Bregman	Alex	0.27	94	17	0	12
Siri	Jose	0.304	14	0	1	4
Maldonado	Martin	0.172	64	10	1	12
