Rosario	Eddie	0.271	26	4	2	7
Soler	Jorge	0.269	56	11	0	14
Freeman	Freddie	0.3	180	25	2	31
Riley	Austin	0.303	179	33	1	33
Duvall	Adam	0.226	45	7	1	16
Pederson	Joc	0.249	43	8	1	7
Albies	Ozzie	0.259	163	40	7	30
d'Arnaud	Travis	0.22	46	14	0	7
Swanson	Dansby	0.248	146	33	2	27
